id,a,b,c,d,display,v1,v2,v3,z1,z2,z3
36,1450.233276,-416.215881,-1143.531616,1006.185242,1,49,50,51,186.861649,171.979919,203.300293
37,-1216.909912,-496.018768,-1362.785767,2494.310303,1,49,53,54,186.861649,213.142883,198.261154
38,0.010178,1778.970581,-647.490479,-19557.369141,1,50,54,55,171.979919,198.261154,229.581528
39,1216.909912,496.018707,1362.785767,-19330.468750,1,51,55,56,203.300293,229.581528,244.463257
40,-0.010208,-1778.970703,647.490417,2721.212158,1,52,56,53,218.182022,244.463257,213.142883
41,-1450.233398,416.215851,1143.531494,-17842.343750,1,56,55,54,244.463257,229.581528,198.261154
42,1450.233521,-416.216309,-1143.531616,1006.184692,1,57,58,59,226.546310,211.664566,242.984940
43,-1216.910156,-496.019287,-1362.785767,2494.313477,1,57,61,62,226.546310,252.827545,237.945801
44,0.010162,1778.970581,-647.490479,3493.776611,1,58,62,63,211.664566,237.945801,269.266174
45,1216.910034,496.019226,1362.785767,-19330.480469,1,59,63,64,242.984940,269.266174,284.147919
46,-0.010208,-1778.970703,647.490417,-20329.945312,1,60,64,61,257.866699,284.147919,252.827545
47,-1450.233521,416.216248,1143.531494,-17842.351562,1,64,63,62,284.147919,269.266174,237.945801
48,805.685669,-231.231506,-635.295837,-15071.206055,1,68,67,71,394.909485,384.469360,359.666443
49,-676.062134,-275.566498,-757.103821,22164.423828,1,71,67,66,359.666443,384.469360,393.229797
50,676.062012,275.566467,757.103760,28117.451172,1,72,69,65,370.106567,378.867004,403.669922
51,-805.685669,231.231476,635.295837,-182.919342,1,65,69,70,403.669922,378.867004,368.426880
52,805.685669,-231.231522,-635.295898,-15071.229492,1,76,75,79,311.388489,300.948364,276.145447
53,-676.062134,-275.566528,-757.103821,31203.441406,1,79,75,74,276.145447,300.948364,309.708801
54,676.062073,275.566467,757.103760,19078.431641,1,80,77,73,286.585571,295.346008,320.148926
55,-805.685669,231.231476,635.295837,-182.895905,1,73,77,78,320.148926,295.346008,284.905884
56,805.685669,-231.231537,-635.295898,-6032.122070,1,84,83,87,324.826233,314.386108,289.583191
57,-676.061035,-275.566528,-757.103760,22164.392578,1,87,83,82,289.583191,314.386108,323.146484
58,676.061035,275.566467,757.103760,28117.492188,1,88,85,81,300.023315,308.783691,333.586609
59,-805.685669,231.231476,635.295776,-9221.993164,1,81,85,86,333.586609,308.783691,298.343567
60,805.685669,-231.231522,-635.295837,-6032.145508,1,92,91,95,241.305206,230.865082,206.062164
61,-676.061035,-275.566528,-757.103760,31203.488281,1,95,91,90,206.062164,230.865082,239.625488
62,676.061035,275.566467,757.103760,19078.396484,1,96,93,89,216.502289,225.262695,250.065613
63,-805.685669,231.231476,635.295776,-9221.969727,1,89,93,94,250.065613,225.262695,214.822571
64,805.685852,-231.231567,-635.295959,-15071.190430,1,100,99,103,331.749786,326.789185,378.989807
65,0.005493,611.092632,-359.717041,31758.701172,1,103,99,98,378.989807,326.789185,335.549622
66,-0.005539,-988.317871,359.716980,18523.169922,1,104,101,97,383.950409,392.710815,340.510193
67,-805.685913,231.231552,635.295898,-182.938736,1,97,101,102,340.510193,392.710815,387.750244
68,805.685059,-231.231567,-635.295227,-15071.429688,1,108,107,111,292.065125,287.104553,339.305176
69,0.005493,988.317810,-359.717041,-24738.250000,1,111,107,106,339.305176,287.104553,295.864990
70,-0.005524,-988.317871,359.716980,9484.137695,1,112,109,105,344.265747,353.026184,300.825562
71,-805.685120,231.231552,635.295166,-182.685440,1,105,109,110,300.825562,353.026184,348.065613
72,805.685852,-231.231583,-635.295898,-6032.132324,1,116,115,119,261.666504,256.705933,308.906555
73,0.005783,988.317139,-359.717041,31758.660156,1,119,115,114,308.906555,256.705933,265.466309
74,-0.005814,-988.317139,359.716980,18523.220703,1,120,117,113,313.867126,322.627533,40.<6631>
75,-805.685913,231.231537,635.295898,-9221.986328,1,113,117,118,270.426910,322.627533,317.666931
76,805.685059,-231.231583,-635.295227,-6032.250977,1,124,123,127,221.981857,217.021271,269.221893
77,0.005768,988.317139,-359.717041,-24738.212891,1,127,123,122,269.221893,217.021271,225.781677
78,-0.005814,-988.317139,359.716980,9484.109375,1,128,125,121,274.182495,282.942871,230.742264
79,-805.685120,231.231537,635.295166,-9221.851562,1,121,125,126,230.742264,282.942871,277.982300
80,-676.061523,-275.566589,-757.103943,31203.513672,1,129,130,134,302.109131,297.148529,38.65<2;1
81,-0.005325,-988.317261,359.717163,18523.158203,1,133,136,132,258.307068,268.747192,312.549255
82,0.005310,988.317200,-359.717224,31758.720703,1,130,131,135,297.148529,307.588654,263.786621
83,676.061462,275.566559,757.103882,19078.367188,1,135,131,132,263.786621,307.588654,312.549255
84,-676.061523,-275.566589,-757.103943,22164.462891,1,137,138,142,385.630127,380.669556,336.867493
85,-0.005356,-988.317261,359.717163,18523.107422,1,141,144,140,341.828064,352.268188,396.070251
86,0.005280,988.317200,-359.717224,31758.771484,1,138,139,143,380.669556,391.109680,347.307617
87,676.061462,275.566528,757.103882,28117.416016,1,143,139,140,347.307617,391.109680,396.070251
88,-676.060852,-275.566589,-757.103088,22164.187500,1,145,146,150,345.945496,340.984894,297.182861
89,-0.005341,-988.317261,359.717163,9484.015625,1,149,152,148,302.143433,312.583557,356.385620
90,0.005295,988.317200,-359.717224,-24738.123047,1,146,147,151,340.984894,351.425018,307.622986
91,676.060791,275.566528,757.103027,28117.705078,1,151,147,148,307.622986,351.425018,356.385620
92,-676.060852,-275.566589,-757.103088,31203.359375,1,153,154,158,262.424469,257.463867,213.661835
93,-0.005325,-988.317261,359.717163,9484.066406,1,157,160,156,218.622421,229.062546,272.864594
94,0.005295,988.317200,-359.717224,-24738.173828,1,154,155,159,257.463867,267.903992,224.101959
95,676.060791,275.566559,757.103027,19078.535156,1,159,155,156,224.101959,267.903992,272.864594
